id;bucket;object_key;media_type;content_length;sha_256;purpose;filename;storage_class;encryption;metadata;created_by;created_date;last_modified_by;last_modified_date
14;inbound;inbound/22334455/202510/FEEDBACK_XML-22334455-20251020161701-e7326f1b.dat;application/zip;481802;336932709f4d7c59db11c3a71ca58780a95e9e28d05788ff94a0d07602f18f0b;FEEDBACK_XML;FEEDBACK_XML-22334455-20251020161701-e7326f1b.dat;INFREQUENT;aws:kms;"{""note"": ""seed"", ""sellerId"": ""22334455""}";system;2025-10-20T16:17:01.008Z;system;2025-10-20T16:22:01.008Z
15;mig;mig/80223311/202510/FEEDBACK_XML-80223311-20251017171701-34215c59.dat;application/zip;1019492;dfeca81004069f6e558f9222d7660bd6a80cee7630b989fff7c60a3c70c8e814;FEEDBACK_XML;FEEDBACK_XML-80223311-20251017171701-34215c59.dat;STANDARD;AES256;"{""note"": ""seed"", ""sellerId"": ""80223311""}";system;2025-10-17T17:17:01.008Z;system;2025-10-17T17:22:01.008Z
16;feedback;feedback/50991234/202510/FEEDBACK_XML-50991234-20251014161701-a0e8a159.dat;application/xml;521419;8c9f37afa8a14f1876299795974fc252bae74305ef6260b890ad60ad04d02c21;FEEDBACK_XML;FEEDBACK_XML-50991234-20251014161701-a0e8a159.dat;INFREQUENT;;"{""note"": ""seed"", ""sellerId"": ""50991234""}";system;2025-10-14T16:17:01.008Z;system;2025-10-14T16:22:01.008Z
17;feedback;feedback/16888002/202510/RESULT_CSV-16888002-20251021161701-a67e45ef.dat;text/csv;1132334;fbd2d5027a3bc81081ce71b66a2f16b17eef0982c560b94c00b712b4c9406f0d;RESULT_CSV;RESULT_CSV-16888002-20251021161701-a67e45ef.dat;INFREQUENT;;"{""note"": ""seed"", ""sellerId"": ""16888002""}";system;2025-10-21T16:17:01.008Z;system;2025-10-21T16:22:01.008Z
18;inbound;inbound/16888002/202510/UPLOAD_ORIGINAL-16888002-20251028041701-dfa99c6e.dat;text/csv;754214;4876b413915ce5bb0c7b8f83c194033df5a90f7cf7d5347e67975c7ab99a528e;UPLOAD_ORIGINAL;UPLOAD_ORIGINAL-16888002-20251028041701-dfa99c6e.dat;GLACIER;;"{""note"": ""seed"", ""sellerId"": ""16888002""}";system;2025-10-28T04:17:01.008Z;system;2025-10-28T04:22:01.008Z
19;outbound;outbound/50991234/202510/RESULT_CSV-50991234-20251031141701-2a301f76.dat;text/csv;1770267;44bd3ff5517d850d5a12ee9849ea6500ae5a2f61c808eb48830c31de532b72a4;RESULT_CSV;RESULT_CSV-50991234-20251031141701-2a301f76.dat;STANDARD;AES256;"{""note"": ""seed"", ""sellerId"": ""50991234""}";system;2025-10-31T14:17:01.008Z;system;2025-10-31T14:22:01.008Z
20;inbound;inbound/24567891/202510/FEEDBACK_XML-24567891-20251010231701-4c977bd5.dat;application/zip;540965;f9f6f40149d4eccb503e94eeb1dcba0b165d876a8c800a7f8023011a5711998a;FEEDBACK_XML;FEEDBACK_XML-24567891-20251010231701-4c977bd5.dat;INFREQUENT;AES256;"{""note"": ""seed"", ""sellerId"": ""24567891""}";system;2025-10-10T23:17:01.008Z;system;2025-10-10T23:22:01.008Z
21;inbound;inbound/50991234/202510/RESULT_CSV-50991234-20251028081701-e0524ab2.dat;text/csv;526811;5d2166272ee0d6aa63a9fd23773e2bafac228779dceeb70db3a8bc8497258693;RESULT_CSV;RESULT_CSV-50991234-20251028081701-e0524ab2.dat;STANDARD;AES256;"{""note"": ""seed"", ""sellerId"": ""50991234""}";system;2025-10-28T08:17:01.008Z;system;2025-10-28T08:22:01.008Z
22;feedback;feedback/22334455/202510/FEEDBACK_XML-22334455-20251019191701-f62f0fc3.dat;application/xml;1713787;4bd4b62b7cdd1f1df0715f4cd678baf603e7c67e2effdab8a61e870bb7880419;FEEDBACK_XML;FEEDBACK_XML-22334455-20251019191701-f62f0fc3.dat;INFREQUENT;AES256;"{""note"": ""seed"", ""sellerId"": ""22334455""}";system;2025-10-19T19:17:01.008Z;system;2025-10-19T19:22:01.008Z
23;outbound;outbound/80223311/202510/UPLOAD_ORIGINAL-80223311-20251026011701-8c78ad4d.dat;application/zip;1819591;d489df424a83e0e45bc5c1f1b38b7826c914c6dbcc88c49e024b574d277b08ed;UPLOAD_ORIGINAL;UPLOAD_ORIGINAL-80223311-20251026011701-8c78ad4d.dat;INFREQUENT;AES256;"{""note"": ""seed"", ""sellerId"": ""80223311""}";system;2025-10-26T01:17:01.008Z;system;2025-10-26T01:22:01.008Z
24;mig;mig/16888002/202510/FEEDBACK_XML-16888002-20251012001701-fd76c500.dat;application/zip;1187261;690452a2cb5b1b60e1bc00f1c3628a48b02b01c95dec4a335677e252e9f66103;FEEDBACK_XML;FEEDBACK_XML-16888002-20251012001701-fd76c500.dat;INFREQUENT;aws:kms;"{""note"": ""seed"", ""sellerId"": ""16888002""}";system;2025-10-12T00:17:01.008Z;system;2025-10-12T00:22:01.008Z
25;outbound;outbound/50991234/202510/RESULT_CSV-50991234-20251014061701-9a42df09.dat;text/csv;115746;6d76f28e6d12fd8b29f6bd2218cb15410e7481a7d1d8abda2a7d63d49e2d1de6;RESULT_CSV;RESULT_CSV-50991234-20251014061701-9a42df09.dat;STANDARD;aws:kms;"{""note"": ""seed"", ""sellerId"": ""50991234""}";system;2025-10-14T06:17:01.008Z;system;2025-10-14T06:22:01.008Z
26;inbound;inbound/77665544/202510/UPLOAD_ORIGINAL-77665544-20251022221701-33f5ef21.dat;text/csv;1122636;542cd2995404d4317f35cd14a766688395b24dfb7f904951619948547ba5ff78;UPLOAD_ORIGINAL;UPLOAD_ORIGINAL-77665544-20251022221701-33f5ef21.dat;STANDARD;aws:kms;"{""note"": ""seed"", ""sellerId"": ""77665544""}";system;2025-10-22T22:17:01.008Z;system;2025-10-22T22:22:01.008Z
27;mig;mig/77665544/202510/UPLOAD_ORIGINAL-77665544-20251007101701-094808f9.dat;application/zip;643352;6a53d011d4ba0875e5ba7f68f0047ecfb9f761561a86314c57a4d6613e59fec6;UPLOAD_ORIGINAL;UPLOAD_ORIGINAL-77665544-20251007101701-094808f9.dat;INFREQUENT;AES256;"{""note"": ""seed"", ""sellerId"": ""77665544""}";system;2025-10-07T10:17:01.008Z;system;2025-10-07T10:22:01.008Z
28;inbound;inbound/77665544/202510/RESULT_CSV-77665544-20251022231701-2318d737.dat;text/csv;1040667;01c7ab5d0f69562fe7ee251e02eb50ae622539b507efca7a99d8c73150180145;RESULT_CSV;RESULT_CSV-77665544-20251022231701-2318d737.dat;INFREQUENT;aws:kms;"{""note"": ""seed"", ""sellerId"": ""77665544""}";system;2025-10-22T23:17:01.008Z;system;2025-10-22T23:22:01.008Z
